length_px,diameter_px,depth,ratio_pixel_length,ratio_pixel_diameter
301.0,65.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.474,0.4562
301.0,66.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.474,0.4562
302.0,65.0,589.99,0.474,0.4562
301.0,64.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
302.0,66.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4534
301.0,66.0,590.0,0.474,0.4534
302.0,66.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.474,0.4534
302.0,66.0,590.0,0.4746,0.4562
302.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
302.0,66.0,590.0,0.4753,0.4591
302.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,66.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,66.0,590.0,0.474,0.4562
302.0,66.0,590.0,0.4746,0.4562
302.0,65.0,590.0,0.474,0.4534
301.0,65.0,590.0,0.474,0.4562
302.0,66.0,590.0,0.474,0.4562
301.0,66.0,590.0,0.474,0.4562
301.0,66.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4534
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
302.0,64.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.474,0.4562
301.0,66.0,590.0,0.474,0.4562
302.0,65.0,590.0,0.474,0.4562
301.0,66.0,590.0,0.474,0.4562
302.0,66.0,590.0,0.474,0.4562
302.0,67.0,590.0,0.4746,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,66.0,590.0,0.474,0.4534
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,66.0,590.0,0.474,0.4562
300.0,66.0,590.0,0.474,0.4534
302.0,67.0,590.0,0.4753,0.4591
301.0,65.0,590.0,0.474,0.4562
302.0,66.0,590.0,0.4753,0.4591
301.0,65.0,590.0,0.474,0.4534
302.0,65.0,590.0,0.474,0.4534
